股票代号,股票名,最高,今开,涨停,成交量,最低,昨收,跌停,成交额,量比,换手,市盈率(动),市盈率(TTM),委比,振幅,市盈率(静),市净率,每股收益,股息(TTM),总股本,总市值,每股净资产,股息率(TTM),流通股,流通值,52周最高,52周最低,货币单位
SZ000612,焦作万方,4.35,3.90,4.35,21.29万手,3.80,3.95,3.56,8778.97万,1.45,1.79%,15.43,19.92,100.00%,13.92%,48.63,1.18,0.22,0.01,11.92亿,51.86亿,3.69,0.23%,11.91亿,51.81亿,6.70,3.28,CNY
SZ300709,精研科技,95.00,93.80,102.63,16291手,90.56,93.30,83.97,1.50亿,0.67,2.88%,123.88,42.92,-37.50%,4.76%,47.41,5.60,2.13,0.29,8873.67万,81.19亿,16.34,0.32%,5663.09万,51.82亿,157.00,39.21,CNY
SZ300381,溢多利,11.75,11.68,12.84,60542手,11.45,11.67,10.50,7013.56万,0.78,1.36%,70.56,32.18,59.35%,2.57%,41.49,2.06,0.36,0.06,4.56亿,52.91亿,5.65,0.50%,4.46亿,51.83亿,13.28,8.04,CNY
SZ002017,东信和平,11.80,11.64,12.80,50110手,11.42,11.64,10.48,5837.30万,0.66,1.13%,274.98,144.48,-21.91%,3.26%,131.64,3.72,0.08,0.03,4.46亿,52.02亿,3.13,0.26%,4.45亿,51.84亿,20.19,9.65,CNY
SH600261,阳光照明,3.67,3.67,4.03,70895手,3.57,3.66,3.29,2563.44万,1.01,0.49%,15.29,12.65,-34.86%,2.73%,10.70,1.37,0.28,0.17,14.52亿,51.84亿,2.60,4.76%,14.52亿,51.84亿,5.00,3.28,CNY
SZ002104,恒宝股份,9.43,9.23,10.31,55.13万手,8.79,9.37,8.43,5.01亿,0.68,9.38%,亏损,123.23,-20.71%,6.83%,70.84,3.21,0.07,0.00,6.97亿,61.47亿,2.75,0.00%,5.88亿,51.87亿,10.14,6.08,CNY
SH603528,多伦科技,8.41,8.20,9.03,52563手,8.09,8.21,7.39,4341.52万,0.73,0.84%,亏损,63.49,40.10%,3.90%,34.07,3.32,0.13,0.08,6.27亿,52.27亿,2.51,0.96%,6.22亿,51.88亿,9.35,5.58,CNY
SZ300292,吴通控股,5.10,5.04,5.53,29.24万手,5.00,5.03,4.53,1.48亿,0.55,2.84%,亏损,亏损,28.84%,1.99%,93.29,4.10,-0.01,0.00,12.75亿,64.25亿,1.23,0.00%,10.30亿,51.89亿,8.87,4.18,CNY
SH601777,力帆股份,4.22,3.88,4.26,64.42万手,3.73,3.87,3.48,2.62亿,1.93,5.01%,亏损,亏损,25.57%,12.66%,亏损,2.13,-3.64,0.00,13.14亿,53.08亿,1.90,0.00%,12.86亿,51.95亿,5.75,2.21,CNY
SH600461,洪城水业,6.78,6.78,7.45,73710手,6.57,6.77,6.09,4910.94万,1.26,0.93%,9.83,12.09,82.86%,3.10%,12.76,1.27,0.54,0.26,9.48亿,62.38亿,5.18,3.95%,7.90亿,51.96亿,7.44,5.60,CNY
SH600490,鹏欣资源,3.21,3.20,3.54,18.55万手,3.03,3.22,2.90,5769.37万,1.48,1.10%,亏损,32.71,7.57%,5.59%,22.10,1.08,0.09,0.00,22.16亿,68.69亿,2.88,0.00%,16.79亿,52.04亿,5.86,3.03,CNY
SH600986,科达股份,4.06,4.03,4.43,33.43万手,3.95,4.03,3.63,1.34亿,0.42,2.55%,78.42,亏损,15.46%,2.73%,亏损,1.48,-1.90,0.00,13.25亿,52.61亿,2.69,0.00%,13.11亿,52.06亿,6.16,3.41,CNY
SH600987,航民股份,5.73,5.70,6.27,34240手,5.57,5.70,5.13,1936.99万,0.57,0.37%,20.63,8.92,42.37%,2.81%,8.30,1.25,0.63,0.22,10.81亿,61.17亿,4.53,3.89%,9.21亿,52.14亿,7.08,5.27,CNY
SH601890,亚星锚链,5.57,5.53,6.07,20.17万手,5.33,5.52,4.97,1.10亿,0.58,2.10%,67.24,61.20,1.10%,4.35%,58.05,1.73,0.09,0.03,9.59亿,52.19亿,3.14,0.55%,9.59亿,52.19亿,7.26,4.69,CNY
SZ002285,世联行,2.68,2.67,2.93,14.81万手,2.60,2.66,2.39,3893.10万,0.83,0.74%,亏损,亏损,14.50%,3.01%,64.66,1.03,-0.03,0.00,20.38亿,52.98亿,2.53,0.17%,20.10亿,52.25亿,4.88,2.52,CNY
SZ300568,星源材质,33.38,32.35,35.66,64882手,31.56,32.42,29.18,2.11亿,0.88,4.00%,125.39,105.32,-18.32%,5.61%,58.71,2.80,0.31,0.20,2.47亿,79.94亿,11.54,0.62%,1.62亿,52.40亿,43.88,21.95,CNY
SZ002181,粤传媒,4.76,4.72,5.21,70108手,4.61,4.74,4.27,3280.58万,0.35,0.62%,177.68,77.99,29.90%,3.16%,64.03,1.33,0.06,0.08,11.61亿,53.76亿,3.48,1.71%,11.34亿,52.52亿,6.75,3.86,CNY
SZ000600,建投能源,4.94,4.85,5.31,13.12万手,4.79,4.83,4.35,6375.15万,0.88,1.20%,5.45,11.96,13.94%,3.11%,13.53,0.73,0.40,0.12,17.92亿,86.54亿,6.62,2.48%,10.90亿,52.65亿,6.99,3.75,CNY
SH603385,惠达卫浴,14.27,13.50,14.27,25.28万手,13.43,12.97,11.67,3.57亿,3.89,6.84%,45.81,17.29,100.00%,6.48%,16.02,1.54,0.83,0.23,3.69亿,52.71亿,9.25,1.61%,3.69亿,52.71亿,14.27,7.74,CNY
SH600618,氯碱化工,7.14,7.11,7.84,24395手,7.01,7.13,6.42,1722.55万,0.88,0.33%,23.06,12.08,65.14%,1.82%,10.03,1.72,0.58,0.10,11.56亿,81.29亿,4.10,1.42%,7.50亿,52.71亿,11.66,6.67,CNY
SZ300441,鲍斯股份,8.89,8.89,9.70,24686手,8.76,8.82,7.94,2176.40万,1.01,0.41%,81.06,亏损,-48.91%,1.47%,亏损,4.28,-0.23,0.00,6.61亿,58.60亿,2.07,0.00%,5.96亿,52.77亿,10.60,7.33,CNY
SZ001696,宗申动力,6.07,6.00,6.58,11.80万手,5.90,5.98,5.38,7053.27万,0.54,1.32%,17.16,15.16,42.09%,2.84%,16.09,1.56,0.39,0.30,11.45亿,67.90亿,3.81,5.06%,8.91亿,52.85亿,6.83,4.50,CNY
SZ300459,金科文化,2.48,2.27,2.51,81.25万手,2.26,2.28,2.05,1.92亿,1.26,3.58%,9.47,亏损,8.53%,9.65%,亏损,2.14,-0.79,0.00,35.44亿,82.56亿,1.09,0.00%,22.70亿,52.89亿,4.90,2.13,CNY
SH603611,诺力股份,20.25,20.11,22.12,24065手,19.72,20.11,18.10,4814.02万,0.70,0.91%,20.40,21.19,-23.26%,2.64%,22.06,3.21,0.94,0.00,2.68亿,53.45亿,6.23,0.00%,2.65亿,52.89亿,23.33,13.09,CNY
SH600851,海欣股份,7.24,7.17,7.90,13235手,7.10,7.18,6.46,948.61万,0.94,0.18%,165.25,91.91,-37.51%,1.95%,83.38,2.33,0.08,0.03,12.07亿,86.67亿,3.08,0.42%,7.38亿,53.00亿,10.74,6.20,CNY
SH600577,精达股份,2.82,2.82,3.09,13.38万手,2.72,2.81,2.53,3690.30万,0.89,0.70%,20.25,12.46,9.04%,3.56%,12.12,1.46,0.22,0.07,19.21亿,53.03亿,1.89,2.54%,19.21亿,53.03亿,3.40,2.23,CNY
SZ002182,云海金属,8.57,8.50,9.36,11.77万手,8.20,8.51,7.66,9843.04万,1.24,1.82%,34.92,5.90,-35.14%,4.35%,5.84,1.96,1.39,0.15,6.46亿,53.14亿,4.19,1.82%,6.46亿,53.14亿,12.70,6.85,CNY
SH600846,同济科技,8.53,8.48,9.35,86088手,8.33,8.50,7.65,7267.39万,1.11,1.38%,18.44,8.46,-49.85%,2.35%,8.76,1.86,1.01,0.34,6.25亿,53.17亿,4.58,4.00%,6.25亿,53.17亿,10.02,7.17,CNY
SZ300158,振东制药,5.33,5.24,5.76,28.87万手,5.15,5.24,4.72,1.51亿,1.25,2.86%,22.33,35.80,-24.79%,3.44%,38.21,0.99,0.15,0.05,10.33亿,54.55亿,5.35,0.95%,10.08亿,53.22亿,7.33,4.44,CNY
SH603887,城地股份,28.35,28.01,30.80,21110手,27.50,28.00,25.20,5904.86万,0.81,1.11%,25.40,19.61,6.02%,3.04%,22.57,2.21,1.42,0.11,2.68亿,74.79亿,12.64,0.39%,1.91亿,53.25亿,37.84,15.36,CNY
SZ300548,博创科技,50.70,50.70,55.88,28107手,45.99,50.80,45.72,1.34亿,1.28,2.45%,633.66,976.91,-93.83%,9.27%,894.59,11.18,0.05,0.03,1.50亿,69.63亿,4.15,0.06%,1.15亿,53.28亿,76.67,16.34,CNY
SZ002547,春兴精工,7.14,7.11,7.84,16.75万手,6.94,7.13,6.42,1.18亿,1.07,2.20%,亏损,亏损,52.54%,2.81%,357.27,3.00,-0.07,0.00,11.28亿,79.08亿,2.34,0.00%,7.63亿,53.48亿,13.76,6.63,CNY
SZ300627,华测导航,30.15,28.02,30.50,11.11万手,27.90,27.73,24.96,3.23亿,1.91,5.91%,91.87,49.83,26.43%,8.11%,50.04,6.84,0.57,0.30,2.44亿,69.41亿,4.16,1.05%,1.88亿,53.49亿,32.49,16.50,CNY
SH603669,灵康药业,10.87,10.86,11.87,45014手,10.30,10.79,9.71,4753.36万,0.73,0.88%,20.27,23.12,15.60%,5.28%,26.54,5.44,0.45,0.40,5.10亿,53.51亿,1.93,3.81%,5.10亿,53.51亿,12.49,6.15,CNY
SH600123,兰花科创,4.78,4.78,5.26,71315手,4.65,4.78,4.30,3355.52万,1.64,0.62%,24.82,10.57,64.13%,2.72%,8.08,0.50,0.44,0.20,11.42亿,53.58亿,9.31,4.26%,11.42亿,53.58亿,7.21,4.65,CNY
SZ300377,赢时胜,9.71,9.62,10.59,82155手,9.42,9.63,8.67,7850.08万,0.80,1.45%,亏损,84.56,45.05%,3.01%,51.51,2.52,0.11,0.10,7.42亿,70.28亿,3.75,1.06%,5.67亿,53.65亿,14.13,9.42,CNY
SH600965,福成股份,6.78,6.75,7.44,33682手,6.55,6.76,6.08,2239.52万,1.11,0.41%,74.36,28.45,-45.64%,3.40%,25.63,2.60,0.23,0.15,8.19亿,53.71亿,2.52,2.29%,8.19亿,53.71亿,11.10,6.42,CNY
SZ002161,远望谷,7.89,7.88,8.77,20.23万手,7.53,7.97,7.17,1.54亿,1.30,2.84%,亏损,9.86,46.89%,4.52%,7.51,2.96,0.77,0.00,7.40亿,55.85亿,2.55,0.00%,7.13亿,53.80亿,12.98,6.19,CNY
SZ002398,垒知集团,10.65,10.56,11.62,78444手,10.28,10.56,9.50,8187.34万,0.51,1.50%,33.87,19.58,55.94%,3.50%,17.81,2.49,0.53,0.08,6.93亿,71.67亿,4.15,0.77%,5.22亿,54.03亿,12.18,4.98,CNY
SZ002522,浙江众成,6.65,6.59,7.32,26.03万手,6.18,6.65,5.99,1.66亿,1.51,3.04%,74.30,79.93,-77.76%,7.07%,89.22,3.11,0.08,0.07,9.06亿,57.25亿,2.03,1.11%,8.55亿,54.05亿,7.96,4.86,CNY
SZ002621,美吉姆,10.06,9.91,10.89,34684手,9.75,9.90,8.91,3432.51万,0.64,0.63%,亏损,59.39,56.33%,3.13%,48.67,4.34,0.17,0.00,5.91亿,58.26亿,2.27,0.00%,5.48亿,54.06亿,14.02,8.30,CNY
SZ002782,可立克,13.36,12.30,13.50,28.94万手,12.01,12.27,11.04,3.63亿,2.27,6.79%,21.71,74.32,11.20%,11.00%,242.53,6.19,0.17,0.10,4.26亿,54.06亿,2.05,0.79%,4.26亿,54.06亿,13.96,8.61,CNY
SH603713,密尔克卫,81.69,81.41,87.88,15635手,78.66,79.89,71.90,1.25亿,1.07,2.30%,57.85,59.42,-73.44%,3.79%,62.73,8.30,1.34,0.19,1.55亿,122.98亿,9.57,0.24%,6802.41万,54.07亿,83.70,28.50,CNY
SZ002515,金字火腿,6.76,6.69,7.36,52.97万手,6.37,6.69,6.02,3.47亿,0.50,6.24%,31.87,123.28,-42.16%,5.83%,185.77,4.58,0.05,0.05,9.78亿,62.32亿,1.39,0.79%,8.49亿,54.07亿,7.92,4.13,CNY
SZ300516,久之洋,30.18,30.00,32.99,15777手,29.10,29.99,26.99,4672.61万,0.70,0.88%,846.01,100.59,7.29%,3.60%,86.88,5.02,0.30,0.07,1.80亿,54.11亿,5.99,0.23%,1.80亿,54.11亿,40.04,21.91,CNY
SH600742,一汽富维,10.72,10.56,11.61,58676手,10.46,10.55,9.50,6217.15万,1.21,1.16%,亏损,14.17,4.70%,2.46%,10.10,0.99,0.75,0.20,5.08亿,54.12亿,10.75,1.88%,5.08亿,54.12亿,14.65,9.01,CNY
SZ300145,中金环境,3.17,3.17,3.49,12.18万手,3.08,3.17,2.85,3806.00万,0.92,0.70%,亏损,亏损,17.45%,2.84%,259.23,1.24,-0.05,0.03,19.23亿,59.43亿,2.49,0.81%,17.52亿,54.14亿,5.54,3.02,CNY
SZ300465,高伟达,12.54,12.38,13.57,11.10万手,11.95,12.34,11.11,1.36亿,0.68,2.49%,亏损,43.19,-31.22%,4.78%,40.49,4.33,0.28,0.04,4.47亿,54.15亿,2.80,0.37%,4.47亿,54.15亿,17.64,6.75,CNY
SZ000096,广聚能源,10.75,10.62,11.72,9498手,10.45,10.65,9.59,1007.45万,0.95,0.19%,761.77,48.09,-3.17%,2.82%,44.82,2.06,0.22,0.02,5.28亿,55.97亿,5.14,0.19%,5.11亿,54.15亿,12.07,8.17,CNY
SZ002556,辉隆股份,7.76,7.68,8.47,93402手,7.55,7.70,6.93,7119.39万,0.53,1.31%,25.23,32.45,-31.06%,2.73%,33.52,1.96,0.23,0.10,8.57亿,64.84亿,3.86,1.32%,7.16亿,54.17亿,9.77,4.70,CNY
SH600545,卓郎智能,4.89,4.85,5.37,29797手,4.82,4.88,4.39,1444.54万,0.66,0.27%,亏损,21.56,39.51%,1.43%,14.98,1.88,0.22,0.13,18.95亿,91.36亿,2.57,2.68%,11.24亿,54.19亿,8.06,4.77,CNY
SZ000969,安泰科技,5.48,5.44,5.98,61886手,5.35,5.44,4.90,3347.48万,0.84,0.62%,168.04,46.98,14.50%,2.39%,33.75,1.24,0.12,0.00,10.26亿,55.61亿,4.36,0.00%,10.01亿,54.25亿,9.70,5.25,CNY
SH603128,华贸物流,5.54,5.41,5.93,17.06万手,5.25,5.39,4.85,9128.40万,1.48,1.69%,24.31,15.98,34.42%,5.38%,15.44,1.30,0.34,0.05,10.12亿,54.25亿,4.13,0.93%,10.12亿,54.25亿,10.85,4.87,CNY
SH601566,九牧王,9.54,9.51,10.46,16708手,9.38,9.51,8.56,1574.80万,0.99,0.29%,21.48,33.36,-1.64%,1.68%,14.66,1.25,0.28,0.65,5.75亿,54.25亿,7.53,6.89%,5.75亿,54.25亿,13.56,9.38,CNY
SZ000989,九芝堂,9.24,9.06,10.13,15.40万手,8.70,9.21,8.29,1.39亿,1.85,2.61%,22.53,39.97,-85.91%,5.86%,41.72,1.97,0.23,0.40,8.69亿,80.15亿,4.69,4.34%,5.89亿,54.34亿,10.26,7.49,CNY
SZ300737,科顺股份,19.49,19.10,21.02,11.69万手,17.94,19.11,17.20,2.16亿,1.27,3.89%,93.54,31.34,61.84%,8.11%,30.26,3.45,0.58,0.00,6.08亿,109.94亿,5.24,0.00%,3.01亿,54.37亿,22.48,8.68,CNY
SH603979,金诚信,9.87,9.85,10.75,74657手,9.32,9.77,8.79,7104.22万,0.92,1.28%,14.26,16.66,-8.70%,5.63%,17.56,1.24,0.56,0.08,5.83亿,54.37亿,7.49,0.86%,5.83亿,54.37亿,9.99,7.58,CNY
SZ300638,广和通,44.95,44.34,48.60,38478手,43.00,44.18,39.76,1.70亿,1.02,3.08%,50.44,57.17,-60.61%,4.41%,61.74,7.74,0.76,0.22,2.42亿,105.01亿,5.62,0.51%,1.25亿,54.39亿,52.93,23.78,CNY
SH600593,大连圣亚,42.59,42.46,46.61,5873手,42.15,42.37,38.13,2484.95万,1.20,0.46%,亏损,206.86,-44.25%,1.04%,130.40,10.34,0.20,0.00,1.29亿,54.46亿,4.09,0.00%,1.29亿,54.46亿,45.58,29.75,CNY
SZ002803,吉宏股份,34.56,33.78,37.40,41622手,33.18,34.00,30.60,1.40亿,0.98,2.61%,25.62,23.18,1.85%,4.06%,23.27,5.17,1.47,0.10,2.23亿,75.93亿,6.60,0.29%,1.60亿,54.49亿,43.89,17.74,CNY
SH603111,康尼机电,6.73,6.69,7.34,91618手,6.50,6.67,6.00,6037.27万,0.55,1.10%,15.06,9.29,54.25%,3.45%,9.96,2.45,0.70,0.00,9.93亿,64.76亿,2.66,0.00%,8.36亿,54.51亿,8.50,4.34,CNY
SZ300388,国祯环保,9.91,9.85,10.89,33235手,9.69,9.90,8.91,3243.18万,1.04,0.59%,34.56,20.95,-0.98%,2.22%,20.19,1.90,0.46,0.12,6.80亿,65.91亿,5.12,1.24%,5.62亿,54.51亿,13.96,8.60,CNY
SZ300349,金卡智能,14.85,14.76,16.30,31094手,14.33,14.82,13.34,4515.78万,1.36,0.82%,40.88,17.64,-3.28%,3.51%,14.70,1.66,0.82,0.50,4.29亿,61.79亿,8.68,3.47%,3.79亿,54.57亿,18.95,13.42,CNY
SH600985,淮北矿业,8.53,8.47,9.32,30742手,8.35,8.47,7.62,2596.84万,0.94,0.47%,5.51,5.15,25.88%,2.13%,5.03,0.92,1.63,0.60,21.72亿,182.48亿,9.11,7.14%,6.50亿,54.61亿,11.99,7.73,CNY
SZ300267,尔康制药,3.93,3.89,4.30,79963手,3.86,3.91,3.52,3107.50万,0.75,0.57%,84.24,79.98,31.51%,1.79%,49.42,1.38,0.05,0.01,20.63亿,79.82亿,2.81,0.26%,14.13亿,54.68亿,7.26,3.86,CNY
SZ002318,久立特材,6.85,6.84,7.52,65299手,6.63,6.84,6.16,4396.57万,1.02,0.80%,17.69,11.09,26.88%,3.22%,11.26,1.71,0.60,0.30,8.42亿,56.30亿,3.92,4.48%,8.18亿,54.71亿,9.72,6.25,CNY
SH600114,东睦股份,9.36,9.25,10.24,16.41万手,8.90,9.31,8.38,1.49亿,0.78,2.69%,52.27,17.76,-49.64%,4.94%,17.97,2.07,0.51,0.20,6.16亿,55.30亿,4.34,2.23%,6.10亿,54.73亿,15.80,5.70,CNY
SH603960,克来机电,32.48,32.20,35.26,16577手,30.90,32.05,28.85,5219.41万,1.01,0.94%,47.34,52.21,23.02%,4.93%,54.75,12.66,0.60,0.17,1.76亿,54.75亿,2.46,0.55%,1.76亿,54.75亿,39.70,23.90,CNY
SH603583,捷昌驱动,53.98,53.81,59.29,22629手,51.10,53.90,48.51,1.18亿,0.93,2.14%,42.24,33.07,-26.05%,5.34%,32.48,4.93,1.57,0.50,1.78亿,92.12亿,10.52,0.96%,1.06亿,54.78亿,59.90,28.81,CNY
SZ002313,日海智能,17.97,17.71,19.43,23715手,17.35,17.66,15.89,4202.79万,0.75,0.76%,亏损,104.69,-31.93%,3.51%,70.28,2.63,0.17,0.00,3.12亿,54.91亿,6.68,0.00%,3.11亿,54.78亿,23.98,15.44,CNY
SH600158,中体产业,8.67,8.67,9.35,85133手,8.30,8.50,7.65,7172.90万,1.09,1.29%,亏损,102.86,-36.77%,4.35%,71.63,4.05,0.08,0.03,8.44亿,70.37亿,2.06,0.42%,6.57亿,54.84亿,12.23,7.93,CNY
SZ300185,通裕重工,1.93,1.92,2.12,28.72万手,1.87,1.93,1.74,5436.67万,0.77,0.98%,24.73,22.45,-13.00%,3.11%,26.14,1.14,0.08,0.04,32.68亿,61.43亿,1.65,2.13%,29.18亿,54.86亿,2.09,1.49,CNY
SZ002611,东方精工,4.30,4.21,4.68,15.00万手,4.17,4.25,3.83,6375.14万,1.10,1.15%,34.32,3.51,-5.92%,3.06%,3.55,1.49,1.20,0.00,15.45亿,65.20亿,2.84,0.00%,13.01亿,54.89亿,5.66,3.84,CNY
SZ300147,香雪制药,8.67,8.57,9.46,91632手,8.40,8.60,7.74,7793.33万,0.93,1.41%,17.26,41.33,80.83%,3.14%,65.53,1.55,0.20,0.05,6.61亿,55.76亿,5.42,0.55%,6.51亿,54.91亿,13.50,5.93,CNY
SZ000697,炼石航空,10.06,10.00,11.13,16.17万手,9.56,10.12,9.11,1.58亿,0.49,2.86%,亏损,亏损,-19.05%,4.94%,亏损,4.53,-2.29,0.00,6.72亿,65.35亿,2.15,0.00%,5.66亿,55.04亿,14.35,8.16,CNY
SH601011,宝泰隆,3.61,3.56,4.00,42.34万手,3.39,3.64,3.28,1.47亿,0.71,2.64%,223.06,亏损,66.53%,6.04%,78.45,0.90,0.00,0.00,16.10亿,55.24亿,3.83,0.00%,16.05亿,55.04亿,6.39,3.03,CNY
SZ000560,我爱我家,3.16,3.16,3.47,80639手,3.04,3.15,2.84,2488.68万,1.29,0.45%,亏损,15.77,-1.96%,3.81%,8.74,0.72,0.19,0.07,23.56亿,72.31亿,4.25,2.28%,17.98亿,55.19亿,5.53,3.04,CNY
SZ002308,威创股份,6.35,6.33,6.96,14.24万手,6.11,6.33,5.70,8829.27万,0.61,1.58%,126.50,亏损,28.22%,3.79%,亏损,2.39,-1.36,0.00,9.06亿,55.46亿,2.56,0.00%,9.03亿,55.25亿,7.89,4.03,CNY
SZ000801,四川九洲,5.54,5.48,6.01,67455手,5.35,5.46,4.91,3673.44万,0.55,0.66%,177.79,199.03,20.81%,3.48%,203.71,2.28,0.03,0.00,10.23亿,55.33亿,2.37,0.00%,10.23亿,55.33亿,6.56,4.27,CNY
SH600855,航天长峰,16.85,16.51,18.65,24.64万手,15.93,16.95,15.26,4.03亿,1.05,7.23%,亏损,273.85,-1.96%,5.43%,167.32,4.42,0.06,0.03,4.40亿,71.43亿,3.68,0.18%,3.41亿,55.40亿,29.66,9.56,CNY
SH600389,江山股份,19.06,18.91,20.88,9601手,18.50,18.98,17.08,1798.39万,1.03,0.32%,14.16,18.05,-24.22%,2.95%,18.47,2.62,1.03,0.31,2.97亿,55.42亿,7.11,1.66%,2.97亿,55.42亿,23.98,16.53,CNY
SZ300396,迪瑞医疗,22.95,22.95,25.22,46439手,21.95,22.93,20.64,1.04亿,1.11,1.86%,40.32,27.61,30.32%,4.36%,26.40,3.92,0.80,0.50,2.76亿,61.22亿,5.66,2.25%,2.50亿,55.45亿,23.32,15.05,CNY
SH601116,三江购物,14.20,13.99,15.37,80595手,13.38,13.97,12.57,1.11亿,1.23,1.96%,24.52,40.63,71.24%,5.87%,46.10,2.28,0.33,0.20,5.48亿,73.99亿,5.92,1.48%,4.11亿,55.49亿,15.95,10.45,CNY
SH600168,武汉控股,8.21,8.10,9.01,19.75万手,7.70,8.19,7.37,1.57亿,1.42,2.78%,27.16,25.74,-1.61%,6.23%,22.25,1.06,0.30,0.12,7.10亿,55.56亿,7.37,1.52%,7.10亿,55.56亿,11.30,5.60,CNY
SZ000498,山东路桥,5.08,5.04,5.53,56446手,4.95,5.03,4.53,2818.76万,0.93,0.50%,14.73,9.29,4.35%,2.58%,8.98,1.00,0.54,0.08,11.20亿,55.67亿,4.97,1.61%,11.20亿,55.67亿,6.51,3.81,CNY
SZ002117,东港股份,10.70,10.68,11.75,78217手,10.21,10.68,9.61,8151.95万,1.19,1.43%,37.30,23.91,27.43%,4.59%,20.91,3.33,0.43,0.40,5.46亿,55.77亿,3.07,3.91%,5.45亿,55.75亿,15.08,9.20,CNY
SH600499,科达洁能,4.01,3.94,4.32,61987手,3.90,3.93,3.54,2445.87万,0.92,0.44%,51.20,192.66,-13.83%,2.80%,52.20,1.33,0.02,0.00,15.77亿,62.30亿,2.96,0.00%,14.11亿,55.75亿,5.77,3.78,CNY
SZ300219,鸿利智汇,9.16,9.16,9.88,19598手,8.73,8.98,8.08,1744.29万,0.71,0.31%,145.81,亏损,34.81%,4.79%,亏损,3.42,-1.37,0.00,7.08亿,62.94亿,2.60,0.00%,6.28亿,55.80亿,9.56,5.08,CNY
SH603317,天味食品,46.08,45.02,49.68,48246手,43.38,45.16,40.64,2.16亿,1.02,3.85%,86.72,88.87,-51.38%,5.98%,89.91,13.93,0.50,0.19,5.99亿,267.01亿,3.20,0.43%,1.25亿,55.81亿,49.75,21.44,CNY
SZ000889,中嘉博创,9.15,9.12,9.97,14.39万手,8.92,9.06,8.15,1.30亿,0.44,2.31%,亏损,亏损,34.13%,2.54%,亏损,2.62,-1.97,0.00,6.69亿,60.22亿,3.44,0.00%,6.22亿,55.95亿,14.74,7.49,CNY
SZ300085,银之杰,13.60,13.41,14.73,85511手,13.30,13.39,12.05,1.15亿,0.78,2.06%,亏损,607.96,-21.47%,2.24%,1936.91,7.09,0.02,0.00,7.07亿,95.26亿,1.90,0.00%,4.15亿,55.95亿,19.93,10.12,CNY
SH603703,盛洋科技,24.40,23.40,25.58,15.04万手,23.11,23.25,20.93,3.59亿,1.17,6.55%,1327.52,1580.51,37.83%,5.55%,1448.32,12.70,0.02,0.01,2.30亿,56.00亿,1.92,0.04%,2.30亿,56.00亿,24.40,11.50,CNY
SZ002097,山河智能,6.32,6.24,6.89,12.74万手,6.13,6.26,5.63,7916.59万,0.57,1.40%,12.39,13.97,10.43%,3.04%,13.34,1.30,0.44,0.10,10.87亿,67.10亿,4.74,1.62%,9.08亿,56.01亿,7.57,4.71,CNY
SZ002459,晶澳科技,15.05,14.82,16.50,64395手,14.50,15.00,13.50,9474.58万,0.64,1.67%,17.02,13.41,74.36%,3.67%,15.54,2.35,1.08,0.00,13.42亿,194.54亿,6.18,0.00%,3.86亿,56.03亿,20.00,9.46,CNY
SH600609,金杯汽车,5.48,5.25,5.74,15.37万手,5.08,5.22,4.70,8027.68万,0.99,1.41%,1112.06,130.72,10.50%,7.66%,92.41,13.15,0.04,0.00,10.93亿,56.05亿,0.39,0.00%,10.93亿,56.05亿,5.48,3.16,CNY
SH600596,新安股份,8.17,8.07,8.88,60522手,7.99,8.07,7.26,4883.85万,0.62,0.87%,159.18,21.26,25.81%,2.23%,15.05,1.00,0.38,0.20,7.05亿,56.92亿,8.09,2.48%,6.95亿,56.07亿,11.20,7.82,CNY
SZ300232,洲明科技,8.59,8.52,9.36,12.06万手,8.21,8.51,7.66,1.01亿,0.52,1.78%,29.70,15.73,55.56%,4.47%,15.32,2.45,0.52,0.01,9.83亿,81.16亿,3.37,0.18%,6.79亿,56.10亿,12.89,7.47,CNY
SZ000900,现代投资,3.75,3.75,4.14,37484手,3.68,3.76,3.38,1393.73万,1.36,0.25%,亏损,9.16,-53.83%,1.86%,5.75,0.56,0.40,0.16,15.18亿,56.16亿,6.59,4.32%,15.17亿,56.13亿,5.01,3.68,CNY
SH600480,凌云股份,10.30,10.21,11.37,59671手,10.03,10.34,9.31,6060.71万,0.87,1.09%,亏损,亏损,11.59%,2.61%,亏损,1.25,-0.41,0.20,5.48亿,56.49亿,8.25,1.95%,5.45亿,56.17亿,12.57,5.89,CNY
SH600366,宁波韵升,5.79,5.61,6.16,27.72万手,5.53,5.60,5.04,1.57亿,1.08,2.80%,亏损,亏损,-8.01%,4.64%,113.08,1.32,-0.08,0.04,9.89亿,56.18亿,4.29,0.70%,9.89亿,56.18亿,11.20,5.00,CNY
SZ002277,友阿股份,4.33,4.00,4.42,82.57万手,3.97,4.02,3.62,3.39亿,1.09,5.92%,36.24,29.62,58.42%,8.96%,17.74,0.82,0.14,0.03,13.94亿,56.19亿,4.93,0.62%,13.94亿,56.19亿,4.65,2.81,CNY
SH600622,光大嘉宝,3.95,3.92,4.33,33.81万手,3.73,3.94,3.55,1.29亿,0.85,2.25%,15.92,14.96,11.62%,5.58%,12.46,0.87,0.25,0.06,15.00亿,56.24亿,4.31,1.60%,15.00亿,56.24亿,5.31,3.11,CNY
