股票代号,股票名,最高,今开,涨停,成交量,最低,昨收,跌停,成交额,量比,换手,市盈率(动),市盈率(TTM),委比,振幅,市盈率(静),市净率,每股收益,股息(TTM),总股本,总市值,每股净资产,股息率(TTM),流通股,流通值,52周最高,52周最低,货币单位
SZ300407,凯发电气,7.93,7.81,8.66,16659手,7.80,7.87,7.08,1307.22万,0.74,0.80%,亏损,43.93,39.13%,1.65%,35.05,1.88,0.18,0.02,3.05亿,23.92亿,4.18,0.31%,2.09亿,16.35亿,10.79,6.80,CNY
SZ300507,苏奥传感,12.77,12.52,13.89,31117手,12.46,12.63,11.37,3928.82万,0.55,2.41%,39.85,35.55,-9.41%,2.45%,41.30,2.71,0.36,0.10,2.20亿,27.93亿,4.69,0.79%,1.29亿,16.36亿,17.50,8.35,CNY
SZ002105,信隆健康,4.61,4.59,5.05,31411手,4.41,4.59,4.13,1408.74万,1.17,0.85%,亏损,38.29,49.35%,4.36%,39.01,3.02,0.12,0.10,3.69亿,16.36亿,1.47,2.25%,3.69亿,16.36亿,8.85,4.13,CNY
SZ300472,新元科技,10.41,10.41,11.44,17598手,10.06,10.40,9.36,1794.57万,1.01,1.09%,62.34,40.86,-3.56%,3.37%,34.47,1.95,0.25,0.06,2.09亿,21.18亿,5.20,0.59%,1.62亿,16.38亿,20.50,9.93,CNY
SZ002122,*ST天马,1.41,1.40,1.47,16933手,1.38,1.40,1.33,234.59万,0.33,0.14%,亏损,亏损,43.39%,2.14%,亏损,1.06,-1.29,0.00,11.88亿,16.39亿,1.30,0.00%,11.88亿,16.39亿,2.41,1.36,CNY
SH603177,德创环保,8.24,8.17,9.04,6471手,8.09,8.22,7.40,526.61万,0.44,0.32%,亏损,亏损,-34.63%,1.82%,262.60,3.18,-0.01,0.00,2.02亿,16.40亿,2.55,0.00%,2.02亿,16.40亿,16.18,7.60,CNY
SH600721,ST百花,4.67,4.64,4.89,12033手,4.57,4.66,4.43,555.37万,0.67,0.34%,162.31,171.16,49.62%,2.15%,53.45,2.13,0.03,0.00,4.00亿,18.38亿,2.15,0.00%,3.57亿,16.41亿,7.24,4.57,CNY
SZ300106,西部牧业,--,--,8.59,0手,--,7.81,7.03,0.00,0.00,0.00%,亏损,亏损,0.00%,--,亏损,2.94,-0.30,0.00,2.11亿,16.51亿,2.66,0.00%,2.11亿,16.51亿,9.45,4.66,CNY
SZ300599,雄塑科技,13.54,13.50,14.83,11.07万手,12.13,13.48,12.13,1.40亿,2.21,8.14%,30.75,17.80,-100.00%,10.46%,15.77,2.27,0.68,0.23,3.04亿,36.88亿,5.35,1.90%,1.36亿,16.51亿,13.95,9.12,CNY
SH600573,惠泉啤酒,6.92,6.88,7.61,48319手,6.60,6.92,6.23,3238.54万,1.04,1.93%,亏损,89.83,59.15%,4.62%,83.38,1.46,0.07,0.03,2.50亿,16.52亿,4.52,0.45%,2.50亿,16.52亿,8.65,5.36,CNY
SZ000014,沙河股份,8.37,8.32,9.21,19715手,8.16,8.37,7.53,1625.36万,0.56,0.98%,53.24,46.44,66.15%,2.51%,78.44,1.84,0.18,0.01,2.02亿,16.54亿,4.46,0.13%,2.02亿,16.54亿,11.48,7.39,CNY
SZ000619,海螺型材,4.68,4.66,5.14,16061手,4.51,4.67,4.20,740.18万,1.27,0.45%,亏损,亏损,27.76%,3.64%,142.75,0.68,-0.03,0.03,3.60亿,16.56亿,6.76,0.65%,3.60亿,16.56亿,6.05,4.50,CNY
